time_s,target_position_rad,target_velocity_rad_s,position_rad,velocity_rad_s,torque_nm
6.2940000000000005,0.39889721976928616,0.9470795094012479,0.39914097714781444,1.380188697988489,-0.12532571554127545
6.295,0.39984232924354535,0.9431378844752626,0.4005171914063077,1.3762142584932504,-0.12971253986250608
6.296,0.4007834924354388,0.9391869511591133,0.40188943519974524,1.3722437934375071,-0.12971253986250608
6.297,0.40172070005606375,0.9352267484469257,0.40325771249859205,1.3682772988468195,-0.12971253986250608
6.298,0.40265394285556033,0.9312573154242972,0.40462202726934277,1.3643147707507226,-0.12971253986250608
6.299,0.4035832116232,0.9272786912679248,0.4059823834745255,1.3603562051827218,-0.12971253986250608
6.3,0.40450849718747295,0.9232909152452315,0.4073386979763119,1.356314501786432,-0.13406735955535212
6.301,0.40542979041618643,0.9192940267139481,0.40869097481640543,1.3522768400935385,-0.13406735955535212
6.3020000000000005,0.40634708221654714,0.9152880651217549,0.4100392180324678,1.3482432160623379,-0.13406735955535212
6.303,0.4072603635352543,0.9112730700058802,0.41138343165812297,1.3442136256551684,-0.13406735955535212
6.304,0.408169625358592,0.9072490809926959,0.4127236197229614,1.3401880648384061,-0.13406735955535212
6.305,0.4090748587125112,0.903216137797358,0.41405969981773233,1.3360800947709035,-0.13838910013321484
6.306,0.40997605466272613,0.8991742802233784,0.4153916760504058,1.3319762326734683,-0.13838910013321484
6.307,0.4108732043147955,0.8951235481622645,0.4167195525248439,1.3278764744381306,-0.13838910013321484
6.308,0.41176629881421356,0.8910639815931108,0.4180433333408049,1.3237808159610283,-0.13838910013321484
6.309,0.41265532934650007,0.8869956205821914,0.4193630225939473,1.319689253142403,-0.13838910013321484
6.3100000000000005,0.41354028713728064,0.8829185052825959,0.4206785386239311,1.315516029983835,-0.14267669527127547
6.311,0.4144211634523811,0.8788326759337973,0.42198988560397954,1.3113469800484256,-0.14267669527127547
6.312,0.41529794959790595,0.874738172861291,0.4232970677031425,1.3071820991629517,-0.14267669527127547
6.313,0.4161706369203308,0.8706350364761646,0.42460008908630087,1.3030213831583632,-0.14267669527127547
6.314,0.4170392168065851,0.8665233072747133,0.42589895391417065,1.2988648278697794,-0.14267669527127547
6.315,0.4179036806841351,0.8624030258380486,0.4271935812954712,1.2946273813005178,-0.14692908706959038
6.316,0.41876402002107027,0.8582742328316898,0.428483975467649,1.2903941721778254,-0.14692908706959038
